antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})","frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",0.01875176681219964,0.01627037723403587,0.010490938216540503,0.559463986599665,34.38543424975586,1.0,0.01018583989670134,2.2330288395105726,0.9894722718455534,0.4276568501920615,0.5521777496527199,0.6021258156936549
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})","frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.01627037723403587,0.01875176681219964,0.010490938216540503,0.6447876447876447,34.38543424975585,1.0,0.01018583989670134,2.7624270912569595,0.9869763968343528,0.4276568501920615,0.6379994957459746,0.6021258156936549
"frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})","frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.013380657725288186,0.023337626032603573,0.010490938216540503,0.784037558685446,33.59542901193613,1.0,0.01017866543047746,4.522371427283813,0.9833924840777202,0.39999999999999997,0.7788770745439166,0.61678324771419
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})","frozenset({'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",0.023337626032603573,0.013380657725288186,0.010490938216540503,0.44952893674293404,33.59542901193613,1.0,0.01017866543047746,1.7923182672618847,0.9934180651368519,0.39999999999999997,0.4420633777684503,0.61678324771419
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",0.023431856016584478,0.013663347677230896,0.010490938216540503,0.44772117962466484,32.76804412807001,1.0,0.010170780621063094,1.7859396665844314,0.992744304578582,0.3943329397874852,0.4400706705213189,0.6077686357893439
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.013663347677230896,0.023431856016584478,0.010490938216540503,0.7678160919540229,32.76804412807001,1.0,0.010170780621063094,4.206011313195897,0.982912335954802,0.3943329397874852,0.762245052251141,0.6077686357893439
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.01627037723403587,0.023431856016584478,0.011872977981593744,0.7297297297297298,31.142634591696257,1.0,0.0114917328449103,3.6133021327386388,0.9838980715764776,0.4266365688487585,0.7232448427327975,0.6182160712991813
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",0.023431856016584478,0.01627037723403587,0.011872977981593744,0.5067024128686327,31.142634591696254,1.0,0.0114917328449103,1.9941910287592641,0.9911133030042039,0.4266365688487585,0.49854352688459597,0.6182160712991813
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.011558878034990734,0.029305525018060746,0.010490938216540503,0.9076086956521738,30.970565962999206,1.0,0.010152199227105368,10.50634019980451,0.9790277400646925,0.34539813857290586,0.9048193775394208,0.6327968451465585
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER'})",0.029305525018060746,0.011558878034990734,0.010490938216540503,0.3579849946409432,30.970565962999206,1.0,0.010152199227105368,1.539591931207602,0.9969267393248709,0.34539813857290586,0.3504772402803937,0.6327968451465585
