Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Avg_InterPurchase_Interval,First_Time_Buyer
0,326,12,77556.46,2,Champions,35.90909090909091,0
1,2,8,4921.53,2,Champions,57.0,0
2,75,5,2019.4,3,At Risk,90.5,0
3,19,4,4428.69,1,Loyal Customers,189.66666666666666,0
4,310,1,334.4,0,Lost Customers,72.0,1
5,375,1,300.93,0,Lost Customers,72.0,1
6,36,10,2849.84,2,Champions,39.22222222222222,0
7,204,2,406.76,0,Lost Customers,204.0,0
8,232,1,1079.4,0,Lost Customers,72.0,1
9,214,2,947.61,3,At Risk,353.0,0
10,23,6,6371.73,2,Champions,79.8,0
11,33,3,18287.66,2,Champions,177.5,0
12,2,5,3887.07,2,Champions,182.0,0
13,58,10,8873.39,2,Champions,74.88888888888889,0
14,52,8,4252.89,2,Champions,85.71428571428571,0
15,287,4,511.25,3,At Risk,131.0,0
16,3,11,5356.23,2,Champions,73.0,0
17,110,2,552.0,0,Lost Customers,132.0,0
18,8,4,1313.1,1,Loyal Customers,34.333333333333336,0
19,291,2,641.38,0,Lost Customers,0.0,0
20,634,1,500.24,0,Lost Customers,72.0,1
21,4,1,168.9,1,Loyal Customers,72.0,1
22,628,1,917.6999999999999,0,Lost Customers,72.0,1
23,413,3,1791.15,3,At Risk,113.5,0
24,51,7,4316.56,2,Champions,102.66666666666667,0
25,45,5,4067.38,3,At Risk,149.5,0
26,72,3,1298.04,3,At Risk,112.0,0
27,311,3,1127.65,3,At Risk,180.5,0
28,25,4,2989.2200000000003,1,Loyal Customers,187.33333333333334,0
29,11,2,457.5,1,Loyal Customers,87.0,0
30,390,2,503.15,0,Lost Customers,28.0,0
31,315,4,3426.32,3,At Risk,91.0,0
32,130,2,5416.32,3,At Risk,432.0,0
33,82,4,1620.22,3,At Risk,150.66666666666666,0
34,22,11,9676.300000000001,2,Champions,63.7,0
35,5,5,1845.31,1,Loyal Customers,28.25,0
36,185,5,1850.56,3,At Risk,41.25,0
37,29,2,585.27,1,Loyal Customers,92.0,0
38,379,1,1938.4,3,At Risk,72.0,1
39,338,2,401.9,0,Lost Customers,29.0,0
40,415,1,143.94,0,Lost Customers,72.0,1
41,16,8,3901.11,2,Champions,80.42857142857143,0
42,403,3,1433.33,3,At Risk,126.0,0
43,80,1,549.84,0,Lost Customers,72.0,1
44,22,6,2724.84,2,Champions,128.0,0
45,591,1,234.75000000000003,0,Lost Customers,72.0,1
46,72,6,2399.4500000000003,3,At Risk,70.8,0
47,64,2,1272.48,1,Loyal Customers,153.0,0
48,19,15,4721.17,2,Champions,41.214285714285715,0
49,674,1,931.43,0,Lost Customers,72.0,1
50,36,2,2409.9,1,Loyal Customers,99.0,0
51,46,1,1635.6599999999999,1,Loyal Customers,72.0,1
52,119,7,1962.3,3,At Risk,87.33333333333333,0
53,414,1,205.25,0,Lost Customers,72.0,1
54,303,1,84.3,0,Lost Customers,72.0,1
55,323,6,1256.9,3,At Risk,69.0,0
56,50,2,1019.36,1,Loyal Customers,471.0,0
57,682,1,63.24,0,Lost Customers,72.0,1
58,149,1,1710.39,3,At Risk,72.0,1
59,22,5,6390.36,2,Champions,168.25,0
60,50,5,1708.1200000000001,3,At Risk,53.0,0
61,33,8,4340.7699999999995,2,Champions,66.14285714285714,0
62,79,7,23419.29,2,Champions,80.66666666666667,0
63,309,3,1013.71,3,At Risk,96.5,0
64,410,1,346.9,0,Lost Customers,72.0,1
65,75,6,2596.93,3,At Risk,92.4,0
66,67,4,999.45,3,At Risk,111.33333333333333,0
67,217,6,952.41,3,At Risk,49.0,0
68,24,28,144458.37,2,Champions,18.846153846153847,0
69,657,1,202.56,0,Lost Customers,72.0,1
70,3,20,6797.41,2,Champions,37.94736842105263,0
71,113,4,2021.2,3,At Risk,172.0,0
72,386,2,503.01,0,Lost Customers,27.0,0
73,64,1,600.39,1,Loyal Customers,72.0,1
74,16,6,1098.6,1,Loyal Customers,97.4,0
75,96,17,5231.8,2,Champions,38.5,0
76,1,10,2622.39,2,Champions,51.111111111111114,0
77,163,4,3340.03,3,At Risk,192.5,0
78,78,2,1741.41,3,At Risk,370.0,0
79,195,2,1345.21,3,At Risk,468.0,0
80,22,3,825.8,1,Loyal Customers,174.5,0
81,26,9,7956.46,2,Champions,31.875,0
82,9,8,6204.41,2,Champions,76.42857142857143,0
83,43,1,256.4,1,Loyal Customers,72.0,1
84,36,27,10432.22,2,Champions,24.923076923076923,0
