Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12346.0,164,11,372.86,0,Lost Customers,1
12347.0,2,2,1275.95,1,Champions,0
12348.0,73,1,180.4,1,Champions,0
12349.0,42,2,1814.09,1,Champions,0
12351.0,10,1,288.18,1,Champions,0
12352.0,10,2,331.05,1,Champions,0
12353.0,43,1,317.76,1,Champions,0
12355.0,202,1,437.11,0,Lost Customers,1
12356.0,15,3,1274.82,1,Champions,0
12357.0,23,1,4688.72,1,Champions,0
12358.0,10,3,1448.91,1,Champions,0
12359.0,60,6,1835.46,1,Champions,0
12360.0,27,3,1228.27,1,Champions,0
12361.0,97,3,276.35,1,Champions,1
12368.0,263,1,556.5,0,Lost Customers,1
12369.0,48,3,1326.63,1,Champions,0
12370.0,259,3,474.92,0,Lost Customers,1
12371.0,44,3,1819.42,1,Champions,0
12373.0,259,2,581.75,0,Lost Customers,1
12374.0,56,2,1732.89,1,Champions,0
12376.0,24,2,143.15,1,Champions,0
12377.0,16,2,1496.32,1,Champions,0
12378.0,197,1,1182.77,0,Lost Customers,1
12379.0,57,2,673.0799999999999,1,Champions,0
12380.0,100,4,3890.88,1,Champions,1
12385.0,14,1,1489.1,1,Champions,0
12386.0,1,1,215.7,1,Champions,0
12387.0,50,1,110.03999999999999,1,Champions,0
12388.0,80,2,1120.45,1,Champions,0
12389.0,37,3,1209.43,1,Champions,0
12391.0,99,4,1618.13,1,Champions,1
12392.0,226,1,196.95000000000002,0,Lost Customers,1
12393.0,17,2,783.2,1,Champions,0
12395.0,6,4,1471.44,1,Champions,0
12396.0,309,1,900.58,0,Lost Customers,1
12399.0,20,3,584.73,1,Champions,0
12400.0,49,1,205.25,1,Champions,0
12402.0,27,5,928.55,1,Champions,0
12403.0,156,1,67.5,0,Lost Customers,1
12406.0,34,3,2122.66,1,Champions,0
12408.0,20,3,926.14,1,Champions,0
12409.0,55,3,4099.9800000000005,1,Champions,0
12410.0,137,1,240.38,1,Champions,1
12411.0,44,1,287.2,1,Champions,0
12412.0,37,3,1095.61,1,Champions,0
12413.0,37,1,122.85000000000001,1,Champions,0
12414.0,98,1,74.88,1,Champions,1
12415.0,10,4,3734.55,1,Champions,0
12416.0,291,1,202.56,0,Lost Customers,1
12417.0,45,11,2037.4,1,Champions,0
12418.0,48,3,1264.3,1,Champions,0
12419.0,20,2,269.75,1,Champions,0
12421.0,50,2,218.60999999999999,1,Champions,0
12422.0,29,9,1874.74,1,Champions,0
12423.0,22,2,667.08,1,Champions,0
12424.0,57,2,1224.13,1,Champions,0
12425.0,83,1,906.61,1,Champions,0
12426.0,297,1,690.48,0,Lost Customers,1
12427.0,6,1,249.5,1,Champions,0
12429.0,0,5,2196.79,1,Champions,0
12431.0,8,11,3650.67,1,Champions,0
12433.0,1,4,5529.55,1,Champions,0
12434.0,16,1,287.34000000000003,1,Champions,0
12435.0,31,3,2685.88,1,Champions,0
12437.0,30,20,6180.26,2,At Risk,0
12439.0,317,2,1081.18,0,Lost Customers,1
