Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Group,Total_Score
0,326,12,77556.46,2,5,5,255,12
1,2,8,4921.53,5,4,5,545,14
2,75,5,2019.4,3,4,4,344,11
3,19,4,4428.69,5,3,5,535,13
4,310,1,334.4,2,1,2,212,5
5,375,1,300.93,2,1,2,212,5
6,36,10,2849.84,4,5,4,454,13
7,204,2,406.76,2,2,2,222,6
8,232,1,1079.4,2,1,3,213,6
9,214,2,947.61,2,2,3,223,7
10,23,6,6371.73,4,4,5,445,13
11,33,3,18287.66,4,3,5,435,12
12,2,5,3887.07,5,4,5,545,14
13,58,10,8873.39,4,5,5,455,14
14,52,8,4252.89,4,4,5,445,13
15,287,4,511.25,2,3,2,232,7
16,3,11,5356.23,5,5,5,555,15
17,110,2,552.0,3,2,2,322,7
18,8,4,1313.1,5,3,4,534,12
19,291,2,641.38,2,2,3,223,7
20,634,1,500.24,1,1,2,112,4
21,4,1,168.9,5,1,1,511,7
22,628,1,917.6999999999999,1,1,3,113,5
23,413,3,1791.15,1,3,4,134,8
24,51,7,4316.56,4,4,5,445,13
25,45,5,4067.38,4,4,5,445,13
26,72,3,1298.04,3,3,4,334,10
27,311,3,1127.65,2,3,3,233,8
28,25,4,2989.2200000000003,4,3,5,435,12
29,11,2,457.5,5,2,2,522,9
30,390,2,503.15,2,2,2,222,6
31,315,4,3426.32,2,3,5,235,10
32,130,2,5416.32,3,2,5,325,10
33,82,4,1620.22,3,3,4,334,10
34,22,11,9676.300000000001,4,5,5,455,14
35,5,5,1845.31,5,4,4,544,13
36,185,5,1850.56,3,4,4,344,11
37,29,2,585.27,4,2,2,422,8
38,379,1,1938.4,2,1,4,214,7
39,338,2,401.9,2,2,2,222,6
40,415,1,143.94,1,1,1,111,3
41,16,8,3901.11,5,4,5,545,14
42,403,3,1433.33,2,3,4,234,9
43,80,1,549.84,3,1,2,312,6
44,22,6,2724.84,4,4,4,444,12
45,591,1,234.75000000000003,1,1,1,111,3
46,72,6,2399.4500000000003,3,4,4,344,11
47,64,2,1272.48,3,2,4,324,9
48,19,15,4721.17,5,5,5,555,15
49,674,1,931.43,1,1,3,113,5
50,36,2,2409.9,4,2,4,424,10
51,46,1,1635.6599999999999,4,1,4,414,9
52,119,7,1962.3,3,4,4,344,11
53,414,1,205.25,1,1,1,111,3
54,303,1,84.3,2,1,1,211,4
55,323,6,1256.9,2,4,4,244,10
56,50,2,1019.36,4,2,3,423,9
57,682,1,63.24,1,1,1,111,3
58,149,1,1710.39,3,1,4,314,8
59,22,5,6390.36,4,4,5,445,13
60,50,5,1708.1200000000001,4,4,4,444,12
61,33,8,4340.7699999999995,4,4,5,445,13
62,79,7,23419.29,3,4,5,345,12
63,309,3,1013.71,2,3,3,233,8
64,410,1,346.9,2,1,2,212,5
65,75,6,2596.93,3,4,4,344,11
66,67,4,999.45,3,3,3,333,9
67,217,6,952.41,2,4,3,243,9
68,24,28,144458.37,4,5,5,455,14
